"","0","1","p","test"
"n"," 85902941.3"," 23306194.3","",""
"adltfsfactor = 1 (%)","       10.6","       40.7","<0.001",""
"age (%)","           ","           ","<0.001",""
"   18-35","       20.8","       31.3","",""
"   35-65","       62.9","       54.0","",""
"   65+","       16.3","       14.7","",""
"educ (%)","           ","           ","<0.001",""
"   College graduate or above","       30.9","        7.9","",""
"   HS grad or GED","       24.8","       34.8","",""
"   No HS diploma","        6.8","       25.2","",""
"   Some college","       37.5","       32.1","",""
"race (%)","           ","           ","<0.001",""
"   Hispanic","       10.4","       24.4","",""
"   Non-hispanic Black","       11.0","       23.0","",""
"   Non-hispanic Other","        6.6","        5.5","",""
"   Non-hispanic White","       72.1","       47.1","",""
"pctpov (%)","           ","           ","<0.001",""
"   100-185%","       15.3","       30.4","",""
"   185%+","       79.1","       27.2","",""
"   below 100%","        5.6","       42.4","",""
"wicelig = Yes (%)","       50.0","       61.0","<0.001",""
"hhsize (mean (SD))","       2.45 (1.36)","       2.90 (1.85)","<0.001",""
